accepted_symbol,synonym_symbol,scientific_name,county,common_name,genus,family,family_common_name,order,subclass,class,division,growth_habit,active_growth_period,fall_conspicuous,foliage_color,foliage_texture,fruit_conspicuous,growth_form,base_age_height,mature_height,leaf_retention,lifespan,shape_orientation,toxicity,coarse_soil,medium_soil,fine_soil,drought_tolerance,moisture_use,minimum_precipitation,maximum_precipitation,minimum_root_depth,shade_tolerance,bloom_period,fruit_seed_abundance,fruit_nut_period_begin,fruit_nut_period_end,fruit_seed_persistence,berry_nut_seed_product,fodder_product,palatable_human
AEGL,,Aesculus glabra,"AR(Baxter, Benton, Boone, Carroll, Clay, Conway, Crawford, Crittenden, Franklin, Fulton, Hempstead, Howard, Johnson, Lawrence, Little River, Logan, Madison, Marion, Miller, Montgomery, Newton, Polk, Pope, Scott, Searcy, Sebastian, Sevier, Stone, Van Buren, Washington, Yell)",Ohio buckeye,Aesculus,Hippocastanaceae,Horse-chestnut family,Sapindales,Rosidae,Magnoliopsida,Magnoliophyta,Tree,Spring and Summer,Yes,Green,Coarse,Yes,Single Stem,25,68,No,Short,Erect,Severe,No,Yes,Yes,Medium,Medium,30,60,36,Tolerant,Mid Spring,Medium,Spring,Fall,No,No,No,No
AEGLA,,Aesculus glabra var. arguta,"AR(Benton, Polk, Washington)",Ohio buckeye,Aesculus,Hippocastanaceae,Horse-chestnut family,Sapindales,Rosidae,Magnoliopsida,Magnoliophyta,Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AEPA,,Aesculus pavia,"AR(Arkansas, Ashley, Bradley, Calhoun, Chicot, Clark, Clay, Cleburne, Cleveland, Columbia, Conway, Craighead, Cross, Dallas, Desha, Drew, Faulkner, Fulton, Garland, Grant, Greene, Hempstead, Hot Spring, Howard, Independence, Izard, Jackson, Jefferson, Lafayette, Lawrence, Lee, Lincoln, Little River, Logan, Lonoke, Madison, Miller, Monroe, Montgomery, Nevada, Ouachita, Perry, Phillips, Pike, Poinsett, Polk, Pope, Prairie, Pulaski, Randolph, Saline, Sevier, Sharp, St. Francis, Stone, Union, Van Buren, White, Woodruff, Yell)",red buckeye,Aesculus,Hippocastanaceae,Horse-chestnut family,Sapindales,Rosidae,Magnoliopsida,Magnoliophyta,"Tree, Shrub",Spring and Summer,No,Yellow-Green,Coarse,Yes,Single Stem,12,25,No,Long,Erect,Severe,Yes,Yes,Yes,Low,High,36,65,20,Tolerant,Late Spring,Medium,Summer,Fall,No,No,No,No
AEPAP,,Aesculus pavia var. pavia,"AR(Arkansas, Ashley, Bradley, Calhoun, Chicot, Clark, Clay, Cleburne, Cleveland, Columbia, Conway, Craighead, Cross, Dallas, Desha, Drew, Faulkner, Fulton, Garland, Grant, Greene, Hempstead, Hot Spring, Howard, Independence, Izard, Jackson, Jefferson, Lafayette, Lawrence, Lee, Lincoln, Little River, Logan, Lonoke, Madison, Miller, Monroe, Montgomery, Nevada, Ouachita, Perry, Phillips, Pike, Poinsett, Polk, Pope, Prairie, Pulaski, Randolph, Saline, Sevier, Sharp, St. Francis, Stone, Union, Van Buren, White, Woodruff, Yell)",red buckeye,Aesculus,Hippocastanaceae,Horse-chestnut family,Sapindales,Rosidae,Magnoliopsida,Magnoliophyta,"Shrub, Tree",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIAL,,Ailanthus altissima,"AR(Ashley, Benton, Bradley, Carroll, Clark, Cleburne, Cleveland, Craighead, Crawford, Desha, Drew, Faulkner, Franklin, Garland, Hempstead, Hot Spring, Independence, Izard, Jefferson, Johnson, Lonoke, Miller, Mississippi, Newton, Ouachita, Phillips, Pope, Pulaski, Saline, Searcy, St. Francis, Stone, Union, Washington)",tree of heaven,Ailanthus,Simaroubaceae,Quassia family,Sapindales,Rosidae,Magnoliopsida,Magnoliophyta,Tree,Spring and Summer,No,Green,Coarse,Yes,Single Stem,50,55,No,Short,Rounded,Moderate,Yes,Yes,Yes,Medium,Medium,14,90,30,Intolerant,Late Spring,High,Summer,Fall,Yes,No,No,No
ALJU,,Albizia julibrissin,"AR(Arkansas, Ashley, Baxter, Bradley, Calhoun, Chicot, Clark, Cleburne, Cleveland, Columbia, Craighead, Crittenden, Cross, Desha, Drew, Faulkner, Franklin, Garland, Grant, Hempstead, Hot Spring, Independence, Jefferson, Johnson, Lafayette, Lee, Lincoln, Phillips, Pike, Polk, Pope, Pulaski, Saline, Sebastian, St. Francis, Stone, Union, Washington, White, Yell)",silktree,Albizia,Fabaceae,Pea family,Fabales,Rosidae,Magnoliopsida,Magnoliophyta,"Tree, Shrub",Spring and Summer,No,White-Gray,Fine,Yes,Single Stem,20,20,No,Short,Erect,None,Yes,Yes,Yes,Medium,Medium,30,60,30,Intolerant,Mid Summer,High,Summer,Fall,Yes,No,No,No
ALSE2,,Alnus serrulata,"AR(Arkansas, Ashley, Baxter, Benton, Boone, Clark, Clay, Cleburne, Columbia, Conway, Crawford, Dallas, Drew, Faulkner, Franklin, Fulton, Garland, Greene, Hempstead, Hot Spring, Howard, Independence, Izard, Jefferson, Johnson, Lafayette, Lawrence, Lincoln, Little River, Logan, Lonoke, Madison, Marion, Miller, Montgomery, Nevada, Newton, Ouachita, Perry, Pike, Polk, Pope, Pulaski, Randolph, Saline, Scott, Searcy, Sevier, Sharp, Stone, Union, Van Buren, Washington, White, Yell)",hazel alder,Alnus,Betulaceae,Birch family,Fagales,Hamamelididae,Magnoliopsida,Magnoliophyta,"Tree, Shrub",Spring and Summer,No,Green,Coarse,No,Multiple Stem,12,30,No,Moderate,Erect,None,Yes,Yes,Yes,Low,High,32,60,24,Intolerant,Spring,Low,Summer,Summer,No,No,No,No
AMAR3,,Amelanchier arborea,"AR(Ashley, Baxter, Benton, Boone, Bradley, Calhoun, Carroll, Clark, Clay, Cleburne, Cleveland, Conway, Crawford, Cross, Dallas, Drew, Faulkner, Franklin, Fulton, Garland, Greene, Hot Spring, Howard, Independence, Izard, Jackson, Jefferson, Johnson, Lee, Lincoln, Logan, Madison, Marion, Monroe, Montgomery, Newton, Ouachita, Perry, Pike, Poinsett, Polk, Pope, Pulaski, Randolph, Saline, Scott, Searcy, Sebastian, Sharp, St. Francis, Stone, Union, Van Buren, Washington, White, Yell)",common serviceberry,Amelanchier,Rosaceae,Rose family,Rosales,Rosidae,Magnoliopsida,Magnoliophyta,"Tree, Shrub",Spring and Summer,Yes,Dark Green,Fine,Yes,Single Stem,25,36,No,Moderate,Erect,None,Yes,Yes,No,Low,Medium,26,80,20,Tolerant,Mid Spring,Medium,Spring,Summer,No,Yes,No,Yes
ARSP2,,Aralia spinosa,"AR(Arkansas, Bradley, Calhoun, Clark, Clay, Cleburne, Cleveland, Columbia, Conway, Craighead, Crittenden, Cross, Dallas, Drew, Faulkner, Franklin, Garland, Grant, Greene, Hempstead, Hot Spring, Howard, Independence, Izard, Jefferson, Johnson, Lafayette, Lawrence, Lee, Lincoln, Little River, Logan, Lonoke, Miller, Montgomery, Nevada, Newton, Ouachita, Perry, Phillips, Pike, Poinsett, Polk, Pope, Prairie, Pulaski, Randolph, Saline, Searcy, Sevier, Sharp, St. Francis, Stone, Union, Van Buren, Washington, White, Yell)",devil's walkingstick,Aralia,Araliaceae,Ginseng family,Apiales,Rosidae,Magnoliopsida,Magnoliophyta,"Tree, Shrub",Spring and Summer,No,Green,Coarse,No,Multiple Stem,20,20,No,Moderate,Erect,Slight,Yes,Yes,Yes,Low,High,35,80,30,Intolerant,Early Summer,High,Summer,Fall,Yes,No,No,No
ASPA18,,Asimina parviflora,"AR(Columbia, Union)",smallflower pawpaw,Asimina,Annonaceae,Custard-apple family,Magnoliales,Magnoliidae,Magnoliopsida,Magnoliophyta,"Tree, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASTR,,Asimina triloba,"AR(Arkansas, Ashley, Baxter, Benton, Boone, Bradley, Calhoun, Carroll, Chicot, Clark, Clay, Cleburne, Cleveland, Columbia, Conway, Craighead, Crawford, Crittenden, Cross, Dallas, Drew, Faulkner, Franklin, Fulton, Garland, Grant, Greene, Hempstead, Hot Spring, Howard, Independence, Izard, Jackson, Jefferson, Johnson, Lafayette, Lawrence, Lee, Lincoln, Little River, Logan, Lonoke, Madison, Marion, Miller, Mississippi, Monroe, Montgomery, Nevada, Newton, Ouachita, Perry, Phillips, Pike, Poinsett, Polk, Pope, Prairie, Pulaski, Randolph, Saline, Scott, Searcy, Sevier, Sharp, St. Francis, Stone, Union, Van Buren, Washington, White, Woodruff, Yell)",pawpaw,Asimina,Annonaceae,Custard-apple family,Magnoliales,Magnoliidae,Magnoliopsida,Magnoliophyta,"Tree, Shrub",Spring and Summer,Yes,Dark Green,Coarse,No,Single Stem,25,25,No,Short,Erect,None,Yes,Yes,No,Low,Medium,36,80,20,Tolerant,Mid Spring,Medium,Spring,Summer,Yes,Yes,No,Yes
BAHA,,Baccharis halimifolia,"AR(Arkansas, Ashley, Bradley, Calhoun, Chicot, Clark, Cleveland, Columbia, Conway, Dallas, Desha, Drew, Faulkner, Garland, Grant, Hempstead, Hot Spring, Jefferson, Lafayette, Lincoln, Little River, Lonoke, Miller, Monroe, Montgomery, Nevada, Ouachita, Perry, Pike, Polk, Pope, Prairie, Pulaski, Saline, Sevier, Union, Woodruff, Yell)",eastern baccharis,Baccharis,Asteraceae,Aster family,Asterales,Asteridae,Magnoliopsida,Magnoliophyta,"Tree, Shrub","Spring, Summer, Fall",Yes,Dark Green,Coarse,No,Multiple Stem,10,10,No,Moderate,Erect,None,Yes,Yes,Yes,Low,High,36,60,20,Intermediate,Late Summer,High,Fall,Fall,Yes,No,No,No
BENI,,Betula nigra,"AR(Arkansas, Ashley, Baxter, Benton, Boone, Bradley, Calhoun, Carroll, Clark, Clay, Cleburne, Cleveland, Columbia, Conway, Craighead, Crawford, Crittenden, Cross, Dallas, Drew, Faulkner, Franklin, Garland, Grant, Greene, Hempstead, Hot Spring, Howard, Independence, Izard, Jackson, Jefferson, Johnson, Lafayette, Lawrence, Lee, Little River, Logan, Lonoke, Madison, Marion, Miller, Mississippi, Monroe, Montgomery, Nevada, Newton, Ouachita, Perry, Pike, Poinsett, Polk, Pope, Prairie, Pulaski, Randolph, Saline, Scott, Searcy, Sebastian, Sevier, Sharp, St. Francis, Stone, Union, Van Buren, Washington, White, Woodruff, Yell)",river birch,Betula,Betulaceae,Birch family,Fagales,Hamamelididae,Magnoliopsida,Magnoliophyta,Tree,Spring and Summer,No,Green,Medium,No,Multiple Stem,35,70,No,Short,Erect,None,Yes,Yes,Yes,Low,High,30,80,20,Intolerant,Mid Spring,High,Spring,Spring,No,No,No,No
BRPA4,,Broussonetia papyrifera,"AR(Ashley, Boone, Bradley, Carroll, Clark, Clay, Columbia, Crawford, Crittenden, Cross, Drew, Franklin, Garland, Grant, Greene, Hempstead, Howard, Independence, Jackson, Jefferson, Johnson, Lee, Lonoke, Miller, Ouachita, Phillips, Pike, Pope, Pulaski, Randolph, Saline, Searcy, St. Francis, Stone, Union, Washington, White, Woodruff, Yell)",paper mulberry,Broussonetia,Moraceae,Mulberry family,Urticales,Hamamelididae,Magnoliopsida,Magnoliophyta,Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CACA18,,Carpinus caroliniana,"AR(Arkansas, Ashley, Baxter, Benton, Boone, Bradley, Calhoun, Carroll, Clark, Clay, Cleburne, Cleveland, Columbia, Conway, Craighead, Crawford, Crittenden, Cross, Dallas, Desha, Drew, Faulkner, Franklin, Fulton, Garland, Grant, Greene, Hempstead, Hot Spring, Howard, Independence, Izard, Jackson, Jefferson, Johnson, Lafayette, Lawrence, Lee, Lincoln, Little River, Logan, Lonoke, Madison, Marion, Miller, Monroe, Montgomery, Nevada, Newton, Ouachita, Phillips, Pike, Poinsett, Polk, Pope, Prairie, Pulaski, Randolph, Saline, Scott, Searcy, Sebastian, Sevier, Sharp, St. Francis, Stone, Union, Van Buren, Washington, White, Woodruff, Yell)",American hornbeam,Carpinus,Betulaceae,Birch family,Fagales,Hamamelididae,Magnoliopsida,Magnoliophyta,"Tree, Shrub",Spring and Summer,Yes,Green,Medium,No,Multiple Stem,18,30,No,Short,Erect,None,Yes,Yes,No,Low,Medium,23,80,20,Tolerant,Mid Spring,Medium,Summer,Fall,No,No,No,No
CABR16,,Carya ×brownii,AR(Crawford),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
CAAQ2,,Carya aquatica,"AR(Arkansas, Ashley, Bradley, Calhoun, Chicot, Clark, Clay, Cleveland, Columbia, Craighead, Crawford, Crittenden, Cross, Dallas, Desha, Drew, Faulkner, Garland, Grant, Greene, Hempstead, Hot Spring, Independence, Jackson, Jefferson, Lafayette, Lawrence, Lee, Lincoln, Little River, Lonoke, Miller, Mississippi, Monroe, Nevada, Ouachita, Phillips, Pike, Poinsett, Pope, Prairie, Pulaski, Randolph, Saline, Scott, Sevier, St. Francis, Union, White, Woodruff, Yell)",water hickory,Carya,Juglandaceae,Walnut family,Juglandales,Hamamelididae,Magnoliopsida,Magnoliophyta,Tree,Spring and Summer,No,Green,Coarse,No,Single Stem,30,85,No,Moderate,Erect,None,Yes,Yes,Yes,Medium,Medium,35,70,48,Intermediate,Mid Spring,Medium,Summer,Fall,No,No,No,No
CACO15,,Carya cordiformis,"AR(Arkansas, Ashley, Baxter, Benton, Boone, Bradley, Calhoun, Carroll, Chicot, Clark, Clay, Cleburne, Cleveland, Columbia, Conway, Craighead, Crawford, Crittenden, Cross, Dallas, Desha, Drew, Faulkner, Franklin, Fulton, Garland, Grant, Greene, Hempstead, Hot Spring, Howard, Independence, Izard, Jackson, Jefferson, Johnson, Lafayette, Lawrence, Lee, Lincoln, Little River, Logan, Lonoke, Madison, Marion, Miller, Mississippi, Monroe, Montgomery, Nevada, Newton, Ouachita, Perry, Phillips, Pike, Poinsett, Polk, Pope, Prairie, Pulaski, Randolph, Saline, Scott, Searcy, Sebastian, Sevier, Sharp, St. Francis, Stone, Union, Van Buren, Washington, White, Woodruff, Yell)",bitternut hickory,Carya,Juglandaceae,Walnut family,Juglandales,Hamamelididae,Magnoliopsida,Magnoliophyta,Tree,Spring and Summer,Yes,Green,Coarse,Yes,Single Stem,30,75,No,Moderate,Erect,None,Yes,Yes,Yes,High,Medium,25,70,50,Intolerant,Mid Spring,Medium,Summer,Fall,No,No,No,Yes
CAGL8,,Carya glabra,"AR(Arkansas, Ashley, Baxter, Benton, Boone, Bradley, Calhoun, Carroll, Chicot, Clark, Clay, Cleburne, Cleveland, Columbia, Conway, Craighead, Crawford, Crittenden, Cross, Dallas, Desha, Drew, Faulkner, Franklin, Fulton, Garland, Grant, Greene, Hempstead, Hot Spring, Independence, Izard, Jackson, Jefferson, Johnson, Lafayette, Lawrence, Lee, Lincoln, Logan, Lonoke, Madison, Marion, Miller, Mississippi, Monroe, Nevada, Newton, Ouachita, Perry, Phillips, Pike, Poinsett, Pope, Prairie, Pulaski, Randolph, Saline, Searcy, Sharp, St. Francis, Stone, Union, Van Buren, Washington, White, Woodruff, Yell)",pignut hickory,Carya,Juglandaceae,Walnut family,Juglandales,Hamamelididae,Magnoliopsida,Magnoliophyta,Tree,Spring and Summer,Yes,Green,Coarse,Yes,Single Stem,30,80,No,Moderate,Erect,None,Yes,Yes,No,High,Medium,30,80,50,Intermediate,Mid Spring,Medium,Summer,Fall,No,No,No,Yes
CAIL2,,Carya illinoinensis,"AR(Arkansas, Ashley, Benton, Boone, Bradley, Calhoun, Chicot, Clark, Clay, Cleburne, Cleveland, Columbia, Conway, Craighead, Crawford, Crittenden, Cross, Dallas, Drew, Faulkner, Franklin, Fulton, Greene, Hempstead, Hot Spring, Independence, Izard, Jackson, Jefferson, Johnson, Lafayette, Lawrence, Lee, Lincoln, Little River, Logan, Lonoke, Marion, Miller, Mississippi, Monroe, Nevada, Newton, Perry, Phillips, Pike, Poinsett, Pope, Prairie, Pulaski, Randolph, Saline, Scott, Sebastian, Sevier, Sharp, St. Francis, Stone, Union, Washington, White, Woodruff, Yell)",pecan,Carya,Juglandaceae,Walnut family,Juglandales,Hamamelididae,Magnoliopsida,Magnoliophyta,Tree,Spring and Summer,No,Yellow-Green,Fine,Yes,Single Stem,35,120,No,Long,Erect,None,Yes,Yes,Yes,Low,High,28,79,32,Intolerant,Early Spring,High,Summer,Fall,No,Yes,No,Yes
CALA21,,Carya laciniosa,"AR(Arkansas, Clark, Clay, Craighead, Crittenden, Cross, Faulkner, Grant, Greene, Jackson, Lawrence, Mississippi, Monroe, Poinsett, Pulaski, Randolph, Saline, St. Francis, Stone)",shellbark hickory,Carya,Juglandaceae,Walnut family,Juglandales,Hamamelididae,Magnoliopsida,Magnoliophyta,Tree,Spring and Summer,No,Green,Coarse,Yes,Single Stem,35,100,No,Long,Erect,None,Yes,Yes,No,Low,High,30,60,60,Tolerant,Mid Spring,Low,Summer,Fall,No,Yes,No,Yes
CAMY,,Carya myristiciformis,"AR(Arkansas, Bradley, Clark, Cleveland, Desha, Drew, Faulkner, Hempstead, Jackson, Jefferson, Little River, Miller, Ouachita, Pike, Pulaski, Saline, Sevier, Union)",nutmeg hickory,Carya,Juglandaceae,Walnut family,Juglandales,Hamamelididae,Magnoliopsida,Magnoliophyta,Tree,Spring and Summer,Yes,Green,Coarse,Yes,Single Stem,30,95,No,Moderate,Erect,None,No,Yes,Yes,Low,Medium,40,60,48,Intolerant,Mid Spring,Medium,Summer,Fall,No,Yes,No,Yes
CAOV3,,Carya ovalis,"AR(Carroll, Cleveland, Conway, Craighead, Cross, Desha, Drew, Greene, Hempstead, Hot Spring, Jefferson, Logan, Madison, Miller, Newton, Phillips, Poinsett, Polk, Pope, Scott, Searcy, Sebastian, St. Francis, Union, Washington, Yell)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
CAOV2,,Carya ovata,"AR(Arkansas, Ashley, Baxter, Benton, Boone, Bradley, Carroll, Clark, Clay, Cleburne, Cleveland, Columbia, Conway, Craighead, Crawford, Crittenden, Cross, Dallas, Desha, Drew, Faulkner, Franklin, Fulton, Garland, Grant, Greene, Hempstead, Independence, Izard, Jackson, Jefferson, Johnson, Lafayette, Lawrence, Lee, Lincoln, Little River, Logan, Lonoke, Madison, Marion, Miller, Mississippi, Monroe, Montgomery, Nevada, Newton, Ouachita, Perry, Phillips, Pike, Poinsett, Polk, Pope, Prairie, Pulaski, Randolph, Saline, Scott, Searcy, Sebastian, Sevier, Sharp, St. Francis, Stone, Union, Van Buren, Washington, White, Woodruff, Yell)",shagbark hickory,Carya,Juglandaceae,Walnut family,Juglandales,Hamamelididae,Magnoliopsida,Magnoliophyta,Tree,Spring and Summer,Yes,Green,Coarse,Yes,Single Stem,15,75,No,Long,Erect,None,Yes,Yes,Yes,Medium,Medium,29,80,48,Intermediate,Late Spring,Medium,Summer,Fall,No,Yes,No,Yes
CAPA24,,Carya pallida,AR(Poinsett),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
